iter	Logloss
0	0.6822111696
1	0.6715011112
2	0.6617596195
3	0.6520790319
4	0.6423118686
5	0.6319441659
6	0.6213054992
7	0.6138919843
8	0.601317648
9	0.5918365893
10	0.5872021286
11	0.5790178148
12	0.5715105323
13	0.5651983563
14	0.558480791
15	0.5509204373
16	0.5435201541
17	0.5367316998
18	0.5298247812
19	0.5235503372
20	0.5179890641
21	0.5110060461
22	0.5049173067
23	0.4986166878
24	0.4938761427
25	0.4897266334
26	0.4842345979
27	0.4796337588
28	0.4742545278
29	0.4695100218
30	0.4645812767
31	0.4569129182
32	0.4520741288
33	0.4487171355
34	0.4443643074
35	0.4408740881
36	0.436478424
37	0.4321717822
38	0.4282220807
39	0.4236703598
40	0.4186000311
41	0.4146087795
42	0.4108099391
43	0.4069579959
44	0.4021434899
45	0.3989297754
46	0.3937159834
47	0.3885120852
48	0.3855501532
49	0.3822221957
50	0.3805790033
51	0.3780579579
52	0.3745320585
53	0.3712402748
54	0.3678992077
55	0.3651208969
56	0.3615660734
57	0.3566535447
58	0.3542172903
59	0.3514146169
60	0.3486774704
61	0.3450830441
62	0.3439148547
63	0.3412494401
64	0.3382400409
65	0.3351197955
66	0.3326426288
67	0.3310307726
68	0.3285741858
69	0.3254821953
70	0.3235489008
71	0.3213322401
72	0.3184208602
73	0.3163826896
74	0.3143473114
75	0.3113697467
76	0.3074799816
77	0.3050990302
78	0.3032550837
79	0.301314834
80	0.3004475918
81	0.2981981329
82	0.2958552464
83	0.2939398344
84	0.291724719
85	0.2881732626
86	0.2862924961
87	0.2839549713
88	0.2822018307
89	0.2811275529
90	0.2793830309
91	0.2765718835
92	0.2743618884
93	0.2728471445
94	0.2711370672
95	0.2701014639
96	0.2688296011
97	0.2674457227
98	0.2660596147
99	0.2639725981
100	0.2615918205
101	0.2591784779
102	0.2568197608
103	0.2557255408
104	0.2547671091
105	0.2518845969
106	0.2507096519
107	0.2496838631
108	0.2471965787
109	0.2454277408
110	0.2434038573
111	0.2422369196
112	0.2395929526
113	0.2376898411
114	0.236493557
115	0.2347759448
116	0.2328749155
117	0.231510897
118	0.2302822678
119	0.2291419624
120	0.2279772123
121	0.2267344614
122	0.2260680223
123	0.2250584695
124	0.22296603
125	0.2212955133
126	0.2202805312
127	0.2180629531
128	0.2169806034
129	0.2150299344
130	0.2130312696
131	0.2120704091
132	0.2108552653
133	0.2101622042
134	0.2087111035
135	0.2072543918
136	0.2067623197
137	0.2056768955
138	0.2050606972
139	0.2044694888
140	0.2038617498
141	0.2029017865
142	0.2017193799
143	0.2012010795
144	0.1999883527
145	0.199004349
146	0.198409574
147	0.1972753553
148	0.196349203
149	0.1949403074
150	0.1941462837
151	0.1930414456
152	0.1923163386
153	0.1919426363
154	0.191581423
155	0.1901169802
156	0.1888520878
157	0.1875096914
158	0.1867690335
159	0.1861259867
160	0.185096068
161	0.1838131829
162	0.1830827199
163	0.1823902622
164	0.1816042297
165	0.1806991794
166	0.1797644791
167	0.1780368052
168	0.1767668926
169	0.1758406359
170	0.1749063085
171	0.1741279115
172	0.173454497
173	0.172285041
174	0.1717075407
175	0.1708057661
176	0.1697163664
177	0.1692790353
178	0.1683955359
179	0.1677681446
180	0.1665704706
181	0.1651648772
182	0.1642858195
183	0.1637036403
184	0.1628924046
185	0.1619848172
186	0.1608534128
187	0.1604387676
188	0.1594581051
189	0.1589957782
190	0.1583681406
191	0.1571810852
192	0.1564060841
193	0.1557611887
194	0.1552358012
195	0.154544521
196	0.1533504558
197	0.152651082
198	0.1518966594
199	0.1507823155
200	0.1502875524
201	0.149375742
202	0.1489782455
203	0.1485258226
204	0.147635934
205	0.1473822378
206	0.1468134612
207	0.1462945624
208	0.1456313209
209	0.1449240051
210	0.144365718
211	0.1438532414
212	0.1434481189
213	0.1426004592
214	0.1421832803
215	0.1417031687
216	0.1412522342
217	0.140424603
218	0.1392039496
219	0.1380487312
220	0.1376009509
221	0.1370286813
222	0.1364646337
223	0.1359139294
224	0.1352143641
225	0.1344791829
226	0.1336936745
227	0.1329406849
228	0.1324383489
229	0.1320480019
230	0.1315050143
231	0.1312034884
232	0.1307841011
233	0.1298024319
234	0.1289525213
235	0.1281711079
236	0.1277018564
237	0.1272761464
238	0.1268323643
239	0.1264163898
240	0.1256778804
241	0.1250090782
242	0.1246790357
243	0.1241139419
244	0.1233275439
245	0.1230122246
246	0.1227216623
247	0.1221661872
248	0.1212690491
249	0.1211364424
250	0.1205414483
251	0.1201581396
252	0.119293429
253	0.1188511956
254	0.1187397089
255	0.1179852351
256	0.1175340274
257	0.1172475168
258	0.1168278073
259	0.1163025522
260	0.116099705
261	0.1156146112
262	0.115027588
263	0.1145458649
264	0.1138054238
265	0.1135174905
266	0.1129353571
267	0.1124959995
268	0.1120527823
269	0.111604694
270	0.1112862941
271	0.1107822681
272	0.1102345315
273	0.1098986096
274	0.1094336209
275	0.1087143282
276	0.1084755868
277	0.1080816572
278	0.1073684796
279	0.1070375773
280	0.1067029728
281	0.106241646
282	0.1060773574
283	0.1057511276
284	0.1056124187
285	0.1050714338
286	0.104585751
287	0.1042291815
288	0.1037291115
289	0.1035795031
290	0.1028730717
291	0.1024384576
292	0.1020539521
293	0.101599798
294	0.1012390854
295	0.1008712849
296	0.1006163195
297	0.100165593
298	0.09989444327
299	0.09946892815
