iter	Passed	Remaining
0	1	557
1	3	548
2	5	523
3	6	495
4	8	516
5	10	508
6	11	495
7	13	486
8	14	482
9	16	476
10	18	479
11	19	479
12	21	475
13	23	473
14	25	475
15	26	470
16	27	460
17	29	455
18	30	450
19	32	455
20	34	460
21	36	464
22	38	467
23	41	473
24	42	471
25	44	471
26	46	470
27	48	469
28	49	465
29	51	461
30	52	457
31	54	455
32	56	454
33	57	451
34	59	447
35	60	443
36	61	439
37	63	435
38	64	432
39	66	429
40	67	426
41	68	423
42	70	422
43	72	420
44	73	417
45	74	411
46	76	409
47	77	406
48	78	404
49	80	401
50	81	399
51	83	396
52	84	395
53	86	393
54	87	391
55	89	389
56	90	386
57	92	384
58	93	382
59	94	379
60	96	377
61	97	375
62	99	372
63	100	370
64	102	369
65	103	367
66	105	365
67	106	363
68	107	361
69	109	359
70	110	357
71	112	355
72	113	353
73	115	351
74	116	349
75	117	347
76	119	345
77	120	343
78	122	341
79	123	339
80	125	337
81	126	336
82	127	334
83	129	332
84	130	330
85	132	328
86	133	326
87	134	324
88	136	323
89	137	320
90	138	318
91	140	316
92	141	315
93	143	313
94	144	311
95	145	310
96	147	308
97	148	306
98	149	304
99	151	302
100	152	300
101	154	299
102	155	297
103	157	296
104	158	294
105	160	292
106	161	291
107	162	289
108	164	288
109	165	286
110	167	284
111	168	283
112	170	281
113	171	280
114	173	278
115	174	277
116	176	275
117	177	274
118	179	272
119	180	270
120	181	269
121	183	267
122	184	265
123	186	264
124	187	262
125	189	261
126	190	259
127	191	257
128	193	256
129	194	254
130	196	253
131	197	251
132	199	249
133	200	248
134	201	246
135	203	245
136	204	243
137	205	241
138	207	240
139	208	238
140	210	237
141	211	235
142	212	233
143	214	232
144	215	230
145	217	229
146	218	227
147	220	226
148	221	224
149	222	222
150	224	221
151	225	219
152	227	218
153	228	216
154	230	215
155	231	213
156	232	212
157	234	210
158	235	209
159	237	207
160	238	205
161	239	204
162	241	202
163	242	201
164	244	199
165	245	198
166	247	196
167	248	195
168	250	193
169	251	192
170	252	190
171	254	189
172	255	187
173	257	186
174	258	184
175	260	183
176	261	181
177	262	180
178	264	178
179	265	177
180	267	175
181	268	174
182	269	172
183	271	171
184	273	169
185	274	168
186	275	166
187	277	165
188	278	163
189	279	162
190	281	160
191	282	159
192	284	157
193	285	156
194	287	154
195	288	153
196	289	151
197	291	150
198	292	148
199	294	147
200	295	145
201	296	144
202	298	142
203	299	141
204	301	139
205	302	138
206	304	136
207	305	135
208	306	133
209	308	132
210	309	130
211	310	129
212	312	127
213	313	126
214	315	124
215	316	123
216	318	121
217	319	120
218	320	118
219	322	117
220	323	115
221	324	114
222	326	112
223	328	111
224	329	109
225	331	108
226	332	106
227	333	105
228	335	103
229	336	102
230	338	101
231	339	99
232	341	98
233	342	96
234	344	95
235	345	93
236	346	92
237	348	90
238	349	89
239	351	87
240	352	86
241	354	84
242	355	83
243	357	81
244	358	80
245	360	79
246	363	77
247	365	76
248	367	75
249	369	73
250	371	72
251	373	71
252	375	69
253	377	68
254	379	66
255	380	65
256	382	64
257	385	62
258	386	61
259	388	59
260	390	58
261	392	56
262	394	55
263	396	54
264	398	52
265	400	51
266	402	49
267	403	48
268	405	46
269	407	45
270	409	43
271	411	42
272	412	40
273	415	39
274	417	37
275	420	36
276	422	35
277	423	33
278	425	32
279	427	30
280	429	29
281	431	27
282	432	25
283	434	24
284	436	22
285	438	21
286	439	19
287	441	18
288	442	16
289	444	15
290	445	13
291	447	12
292	449	10
293	450	9
294	451	7
295	453	6
296	454	4
297	456	3
298	457	1
299	458	0
