model,strategy,pr_auc,recall,roc_auc,f1,precision,accuracy
catboost,class_weight,0.8453562255216497,0.8807132956370596,0.9671960712132887,0.7487241396355524,0.6514551156863395,0.9069791666666667
lightgbm,class_weight,0.8312399795862048,0.7972123825658401,0.9638992204559258,0.7546806208207634,0.7168219264779995,0.9185416666666668
catboost,smote,0.8308621304713923,0.7720402191370928,0.9638150268975908,0.7544449574185169,0.7380173228187165,0.9210416666666668
lightgbm,smote,0.8292528431779935,0.756788629513102,0.9638747131813596,0.7518614955008731,0.7471755987004574,0.9214583333333332
xgboost,class_weight,0.8196411397962592,0.7713735671382368,0.9613939637141862,0.7419431360268474,0.7147385606652353,0.915625
xgboost,smote,0.8169436701366231,0.7395634859519042,0.9613617178886162,0.7404243357364331,0.7416623398588389,0.9184374999999999
random_forest,class_weight,0.8161007778034935,0.8734307275967526,0.9594180726560125,0.7387869469485778,0.6405264934593656,0.9028124999999999
random_forest,smote,0.8024361828276383,0.8329937735143342,0.9572242260688171,0.7443214971861838,0.6731359869370583,0.9099999999999999
logistic_regression,class_weight,0.8022020365998788,0.8747376295351037,0.9579640648474366,0.7462666464467911,0.6508953726465243,0.9064583333333334
logistic_regression,smote,0.7996616706234684,0.8727574750830565,0.9563352770970293,0.7456812702401195,0.6510716252924329,0.9063541666666668
decision_tree,class_weight,0.711531373585744,0.8548744802094562,0.904346505097726,0.7016167816635074,0.5961160544356973,0.8854166666666667
decision_tree,smote,0.6479377228088239,0.8137686739565686,0.9065833020838114,0.7112404340361953,0.632077519293407,0.8961458333333333
