iter	Logloss
0	0.6636520049
1	0.6383291844
2	0.6168216121
3	0.5982100559
4	0.5834705966
5	0.5726680487
6	0.5611053478
7	0.5501831283
8	0.5424531166
9	0.5355932735
10	0.5298058882
11	0.5250348967
12	0.521064552
13	0.5174811033
14	0.5146817056
15	0.5116601641
16	0.5091183349
17	0.5066343801
18	0.5045136946
19	0.502600971
20	0.5010647633
21	0.4998092376
22	0.4982420408
23	0.4969232696
24	0.49522062
25	0.4937526968
26	0.4926480129
27	0.4918242524
28	0.4906589179
29	0.4896880573
30	0.4888681289
31	0.4881169378
32	0.4869629791
33	0.4856616185
34	0.4853336834
35	0.4845968251
36	0.4838580356
37	0.4832300163
38	0.4821854095
39	0.4814071519
40	0.4803709035
41	0.4790799832
42	0.4784028702
43	0.4776678827
44	0.4769219117
45	0.47613774
46	0.4753536588
47	0.474913656
48	0.4739950574
49	0.473243987
50	0.4722155537
51	0.4717083827
52	0.4705326079
53	0.4693453065
54	0.4679919857
55	0.4669651516
56	0.4665098806
57	0.4655723627
58	0.4645185225
59	0.4640121361
60	0.4631083833
61	0.4622809114
62	0.4612936057
63	0.4606838721
64	0.4603358106
65	0.4598513007
66	0.4595914993
67	0.4587702734
68	0.458297622
69	0.4577308868
70	0.4576078357
71	0.4570006669
72	0.4561651987
73	0.4556393498
74	0.4547376489
75	0.4543298422
76	0.453804295
77	0.4528410384
78	0.4523438551
79	0.451788888
80	0.4511608687
81	0.4500601979
82	0.4497708859
83	0.449013147
84	0.4480390577
85	0.4474400058
86	0.4468672961
87	0.4462707185
88	0.4458648128
89	0.4448500786
90	0.4439045343
91	0.4431596194
92	0.4426886276
93	0.4417518037
94	0.4406720437
95	0.439718805
96	0.4394381229
97	0.4386906734
98	0.4379028807
99	0.4371604402
100	0.4365595778
101	0.4361180663
102	0.4353952391
103	0.4344834297
104	0.4337660641
105	0.4330663504
106	0.4325534162
107	0.4317982722
108	0.4307963924
109	0.4298180485
110	0.428738198
111	0.4282448168
112	0.4277562634
113	0.4269672035
114	0.426120782
115	0.4257244415
116	0.4250781969
117	0.4243797506
118	0.4240738427
119	0.4234922618
120	0.4227586925
121	0.4220926534
122	0.4213923665
123	0.4202814666
124	0.4195760198
125	0.41876623
126	0.4180341996
127	0.4173423615
128	0.4166942159
129	0.4157569394
130	0.4147307691
131	0.4136219211
132	0.4128370855
133	0.4118196357
134	0.4111729384
135	0.4103400351
136	0.4094860398
137	0.4085908867
138	0.4078483556
139	0.4071235671
140	0.4061483614
141	0.4054647307
142	0.4045711768
143	0.4035444333
144	0.4023823576
145	0.4014716346
146	0.4006980842
147	0.3999844904
148	0.3994597579
149	0.3983704629
150	0.397491785
151	0.3965488961
152	0.3958576916
153	0.3948694204
154	0.3939983766
155	0.3931056978
156	0.3922486248
157	0.3912338303
158	0.3905036104
159	0.3897861844
160	0.3890348122
161	0.3884642449
162	0.3873292357
163	0.3864590066
164	0.3857555212
165	0.3846654718
166	0.3838929473
167	0.3828066094
168	0.3820070789
169	0.381172003
170	0.3804713841
171	0.3795548072
172	0.3786921821
173	0.3777399391
174	0.3766039643
175	0.3755965625
176	0.3748387934
177	0.3742174426
178	0.3735860739
179	0.3728447498
180	0.3720120577
181	0.3712026903
182	0.3704098586
183	0.3698054054
184	0.369042054
185	0.367993253
186	0.3672931471
187	0.3666429496
188	0.3658193701
189	0.3653639181
190	0.3646790804
191	0.3639271047
192	0.3629910955
193	0.3622200497
194	0.3610024532
195	0.3603167103
196	0.3594903548
197	0.3585996675
198	0.3580164571
199	0.3574558775
200	0.3567272266
201	0.3560479109
202	0.3556920644
203	0.3549709572
204	0.3539990405
205	0.3532417239
206	0.3525146723
207	0.3519008953
208	0.3513563081
209	0.3504665261
210	0.3498150311
211	0.3490505029
212	0.348128042
213	0.3475134201
214	0.3468949057
215	0.3462247327
216	0.345704798
217	0.3448968187
218	0.3442317754
219	0.3436521256
220	0.3428381416
221	0.341937014
222	0.3413556744
223	0.3407692052
224	0.3400973124
225	0.3394244237
226	0.3385948698
227	0.338038243
228	0.3374920264
229	0.3368685634
230	0.3361725009
231	0.3357612241
232	0.3351913206
233	0.3344267924
234	0.3337994973
235	0.3333492654
236	0.33285863
237	0.3323499202
238	0.3318073245
239	0.3311016364
240	0.3304696642
241	0.3298319589
242	0.3290923547
243	0.3285589924
244	0.3280102714
245	0.3275726222
246	0.3269208556
247	0.3262503206
248	0.3256435139
249	0.325155051
250	0.3246368363
251	0.3240081229
252	0.3235239751
253	0.3229518387
254	0.3223134695
255	0.3217005978
256	0.3210988905
257	0.3206068973
258	0.3198630083
259	0.3192727371
260	0.318735422
261	0.3180385448
262	0.3175807391
263	0.3170269186
264	0.3163684533
265	0.3158005715
266	0.3151417441
267	0.3145899755
268	0.3139631329
269	0.3134392152
270	0.3128887441
271	0.3123624426
272	0.3117205128
273	0.3110117167
274	0.3105189993
275	0.3099882622
276	0.3093791622
277	0.308910192
278	0.3085955336
279	0.3081761701
280	0.3075375596
281	0.306925774
282	0.3064386992
283	0.305917799
284	0.3055758026
285	0.3050992284
286	0.3047527059
287	0.3041186215
288	0.3035638958
289	0.3029433898
290	0.3025428853
291	0.3019340267
292	0.3014084193
293	0.3009218272
294	0.3002229283
295	0.2995575531
296	0.2989245248
297	0.298441946
298	0.2979006478
299	0.2974870175
