iter	Passed	Remaining
0	8	2434
1	13	2059
2	19	1905
3	24	1838
4	30	1779
5	36	1779
6	41	1732
7	46	1683
8	60	1966
9	72	2106
10	78	2060
11	84	2023
12	88	1964
13	93	1907
14	98	1869
15	103	1835
16	107	1796
17	112	1770
18	118	1749
19	122	1718
20	127	1698
21	133	1689
22	138	1673
23	143	1648
24	149	1639
25	154	1623
26	158	1602
27	163	1589
28	168	1574
29	172	1555
30	177	1538
31	182	1527
32	186	1511
33	191	1496
34	196	1487
35	201	1475
36	205	1461
37	210	1450
38	215	1441
39	219	1428
40	224	1419
41	230	1416
42	235	1408
43	240	1397
44	246	1396
45	251	1386
46	255	1374
47	260	1368
48	265	1360
49	270	1350
50	274	1340
51	280	1335
52	284	1325
53	289	1318
54	294	1313
55	299	1304
56	303	1294
57	308	1287
58	313	1279
59	318	1272
60	323	1265
61	328	1261
62	333	1253
63	337	1245
64	343	1240
65	347	1233
66	352	1225
67	357	1220
68	362	1214
69	366	1205
70	371	1197
71	376	1192
72	381	1184
73	385	1176
74	391	1173
75	395	1166
76	400	1158
77	405	1154
78	410	1147
79	414	1139
80	418	1132
81	424	1127
82	428	1119
83	432	1112
84	437	1107
85	442	1100
86	446	1093
87	451	1087
88	456	1081
89	460	1075
90	465	1069
91	471	1065
92	475	1059
93	480	1052
94	485	1047
95	490	1042
96	494	1035
97	499	1030
98	504	1025
99	509	1018
100	513	1012
101	518	1007
102	523	1001
103	528	995
104	532	989
105	537	984
106	542	978
107	547	972
108	552	968
109	557	962
110	561	955
111	566	951
112	571	945
113	575	939
114	580	933
115	585	929
116	590	923
117	595	917
118	600	913
119	605	908
120	609	902
121	616	899
122	622	896
123	628	891
124	634	888
125	639	883
126	644	878
127	649	872
128	655	868
129	659	862
130	665	857
131	670	853
132	675	848
133	681	844
134	686	839
135	691	834
136	697	829
137	702	825
138	707	819
139	713	815
140	719	811
141	724	806
142	730	801
143	735	797
144	741	792
145	746	787
146	751	782
147	757	778
148	762	772
149	767	767
150	772	762
151	779	758
152	784	753
153	789	748
154	795	744
155	800	739
156	808	736
157	815	733
158	822	729
159	829	725
160	834	720
161	841	717
162	847	711
163	852	707
164	859	702
165	865	698
166	872	694
167	879	690
168	884	685
169	890	681
170	898	677
171	906	674
172	912	669
173	919	665
174	926	662
175	934	658
176	945	657
177	956	655
178	962	650
179	969	646
180	976	641
181	984	638
182	990	633
183	997	628
184	1004	624
185	1010	619
186	1021	616
187	1028	612
188	1035	608
189	1041	602
190	1048	598
191	1054	593
192	1060	587
193	1066	582
194	1073	578
195	1080	573
196	1087	568
197	1094	564
198	1102	559
199	1110	555
200	1116	550
201	1123	544
202	1130	540
203	1135	534
204	1141	528
205	1147	523
206	1153	518
207	1159	512
208	1164	507
209	1169	501
210	1175	495
211	1180	490
212	1185	484
213	1191	478
214	1197	473
215	1202	467
216	1208	462
217	1215	457
218	1219	451
219	1227	446
220	1232	440
221	1236	434
222	1242	429
223	1248	423
224	1254	418
225	1260	412
226	1265	406
227	1271	401
228	1277	396
229	1282	390
230	1287	384
231	1293	379
232	1298	373
233	1304	367
234	1310	362
235	1315	356
236	1321	351
237	1327	345
238	1332	340
239	1338	334
240	1344	329
241	1349	323
242	1355	318
243	1361	312
244	1366	306
245	1373	301
246	1378	295
247	1384	290
248	1390	284
249	1395	279
250	1400	273
251	1406	267
252	1411	262
253	1417	256
254	1423	251
255	1428	245
256	1434	239
257	1439	234
258	1444	228
259	1451	223
260	1457	217
261	1462	212
262	1468	206
263	1473	200
264	1478	195
265	1484	189
266	1489	184
267	1494	178
268	1500	172
269	1505	167
270	1509	161
271	1516	156
272	1521	150
273	1526	144
274	1532	139
275	1537	133
276	1543	128
277	1549	122
278	1553	116
279	1558	111
280	1564	105
281	1569	100
282	1575	94
283	1581	89
284	1586	83
285	1592	77
286	1597	72
287	1602	66
288	1608	61
289	1613	55
290	1618	50
291	1623	44
292	1629	38
293	1634	33
294	1639	27
295	1645	22
296	1650	16
297	1655	11
298	1661	5
299	1666	0
